
DLT	Tipo de DLT	Estrutura de Dados	Grupo de Algoritmo	Algoritmo de Consenso	Estudo de Uso	Desafios e Limitações	Referência Bibliográfica	Casos Reais
Hyperledger Fabric	DLT Permissionada Privada	Blockchain	Alta Segurança e Controle dos Dados	RAFT	Rastreabilidade de medicamentos na cadeia de suprimentos	Baixa escalabilidade para redes muito grandes	Mehmood et al. (2025) - "BLPCA-ledger: A lightweight plenum consensus protocols for consortium blockchain based on Hyperledger Indy"	IBM Food Trust (rastreamento de alimentos), PharmaLedger (rastreamento de medicamentos)
Hyperledger Fabric	DLT Permissionada Privada	Blockchain	Alta Segurança e Controle dos Dados	PBFT	Gestão de Registros Médicos Eletrônicos (EHR)	Escalabilidade limitada para redes maiores	Mehmood et al. (2025) - "BLPCA-ledger: A lightweight plenum consensus protocols for consortium blockchain based on Hyperledger Indy"	Implementações em hospitais para segurança em EHR
Corda	DLT Permissionada Privada	Blockchain	Alta Segurança e Controle dos Dados	RAFT	Compartilhamento seguro de registros médicos e transações sensíveis	Escalabilidade limitada para redes amplas	Popoola et al. (2024) - "A critical literature review of security and privacy in smart home healthcare schemes adopting IoT & blockchain"	B3i (consórcio de seguradoras), HMLR (registro imobiliário no Reino Unido)
Quorum (Mediledger)	DLT Permissionada Simples	Blockchain	Alta Eficiência Operacional em Redes	RAFT	Monitoramento e rastreamento de dispositivos médicos e medicamentos	Escalabilidade limitada em redes públicas	Mehmood et al. (2025) - "BLPCA-ledger: A lightweight plenum consensus protocols for consortium blockchain based on Hyperledger Indy"	Mediledger (rastreamento de cadeia farmacêutica nos EUA)
Quorum (Mediledger)	DLT Permissionada Simples	Blockchain	Alta Eficiência Operacional em Redes	PBFT	Transações seguras e controle de acesso em redes permissionadas	Escalabilidade limitada em redes maiores	Mehmood et al. (2025) - "BLPCA-ledger: A lightweight plenum consensus protocols for consortium blockchain based on Hyperledger Indy"	Mediledger (controle de acesso e rastreamento na área farmacêutica)
VeChain	DLT Permissionada Simples	Blockchain	Alta Eficiência Operacional em Redes	Proof of Authority (PoA)	Rastreamento de suprimentos médicos e dispositivos médicos	Dependência de validadores centralizados	Dhingra et al. (2024) - "Blockchain Technology Applications in Healthcare Supply Chains - A Review"	VeChain ToolChain (uso por hospitais na China para rastrear vacinas e medicamentos)
IOTA (DAG)	DLT Pública	DAG	Alta Escalabilidade em Redes IoT	Tangle	Compartilhamento seguro de dados de pacientes via IoT	Maturidade tecnológica (não totalmente implementada)	Javed et al. (2024) - "Mutual authentication enabled trust model for vehicular energy networks using Blockchain in Smart Healthcare Systems"	Projeto de mobilidade urbana em Taipei utilizando IOTA para segurança de dados
Ethereum (PoW)	DLT Pública Permissionless	Blockchain	Alta Segurança e Descentralização	Proof of Work (PoW)	Contratos inteligentes para registros médicos	Consumo de energia elevado	Makhdoom et al. (2024) - "PrivySeC: A secure and privacy-compliant distributed framework for personal data sharing in IoT ecosystems"	MedRec (gestão de registros médicos baseada em blockchain no MIT)
Ethereum 2.0 (PoS)	DLT Pública/Híbrida	Blockchain	Escalabilidade e Governança Flexível	Proof of Stake (PoS)	Aceleração de ensaios clínicos e compartilhamento de dados	Governança flexível, mas centralização é possível	Nawaz et al. (2024) - "Hyperledger sawtooth based supplychain traceability system for counterfeit drugs"	ConsenSys Health (ensaios clínicos e compartilhamento de dados de saúde)
EOS	DLT Pública/Híbrida com DPoS	Blockchain	Alta Escalabilidade em Redes IoT	Delegated Proof of Stake (DPoS)	Plataformas de compartilhamento de dados de saúde e ensaios clínicos	Potencial de centralização nos delegados principais	Mehmood et al. (2025) - "BLPCA-ledger: A lightweight plenum consensus protocols for consortium blockchain based on Hyperledger Indy"	Vtalu (plataforma para compartilhamento de dados de saúde em pesquisa clínica)
Ripple (XRP Ledger)	DLT com Consenso Delegado	Blockchain	Alta Eficiência Operacional em Redes	Ripple Consensus Algorithm	Processamento eficiente de transações e segurança de dados	Centralização nos validadores principais	Makhdoom et al. (2024) - "PrivySeC: A secure and privacy-compliant distributed framework for personal data sharing in IoT ecosystems"	Santander e American Express (uso para transações financeiras e de remessas internacionais)
Stellar	DLT com Consenso Delegado	Blockchain	Alta Eficiência Operacional em Redes	Stellar Consensus Protocol (SCP)	Gerenciamento de transações de pagamentos entre provedores	Governança dependente do quorum	Liu et al. (2024) - "A systematic study on integrating blockchain in healthcare for electronic health record management and tracking medical supplies"	Cowrie (plataforma de pagamentos e remessas entre Nigéria e Gana)
