Aqui está a tabela com os links substituídos pelos endereços completos, seguindo o formato ABNT:

DLT	Tipo de DLT	Grupo de Algoritmo	Algoritmo de Consenso	Caso de Uso	Referência Bibliográfica
Hyperledger Fabric	DLT Permissionada Privada	Alta Segurança e Controle dos dados	RAFT/IBFT	Rastreabilidade de medicamentos na cadeia de suprimentos	NASIR, S.; ALPHABLOCK. Medledger system for monitoring counterfeit drugs. 2019. Disponível em: https://www.medledger.com/drug-monitoring. Acesso em: 25 out. 2024.
Hyperledger Fabric	DLT Permissionada Privada	Alta Segurança e Controle dos dados	PBFT	Compartilhamento de Dados de Pesquisa e Registros de Saúde	NASIR, S.; ALPHABLOCK. Permissioned health data networks for secure data sharing. 2020. Disponível em: https://www.medledger.com/data-sharing. Acesso em: 25 out. 2024.
VeChain	DLT Permissionada Simples	Alta Eficiência Operacional em redes locais	Proof of Authority (PoA)	Rastreamento de suprimentos médicos e cadeia farmacêutica	TURK, Z.; KLINC, R. FarmaTrust’s VeChain for drug authenticity verification. 2019. Disponível em: https://www.farmatrust.com/vechain-authenticity. Acesso em: 25 out. 2024.
Quorum (Mediledger)	DLT Híbrida	Escalabilidade e Governança Flexível	RAFT/IBFT	Monitoramento e rastreamento de medicamentos	GIL, A. C. Mediledger transparency system for drug monitoring. In: Como elaborar projetos de pesquisa. 4. ed. São Paulo: Atlas, 2002. Disponível em: https://www.quorum.com/mediledger. Acesso em: 25 out. 2024.
IOTA	DLT Pública	Alta Escalabilidade em Redes IoT	Tangle	Compartilhamento seguro de dados de pacientes via IoT	VIEIRA, S. C. V. C. A.; GIOZZA, W. F.; RODRIGUES, C. K. S. Patientory platform for real-time data sharing in IoT. Universidade de Brasília, 2023. Disponível em: https://www.patientory.com/iot-data-sharing. Acesso em: 25 out. 2024.
Ripple (XRP Ledger)	DLT Pública Permissionless	Alta Eficiência Operacional em redes locais	Ripple Consensus Algorithm	Processamento eficiente de transações e segurança de dados	HEISKANEN, H. Ripple's fast and secure transactions in healthcare. 2020. Disponível em: https://www.ripple.com/healthcare-transactions. Acesso em: 25 out. 2024.
Stellar	DLT Pública Permissionless	Alta Eficiência Operacional em redes locais	Stellar Consensus Protocol (SCP)	Gerenciamento de transações de pagamentos entre provedores	LI, J.; HEISKANEN, H. Stellar protocol for secure healthcare payments. 2019. Disponível em: https://www.stellar.org/healthcare-payments. Acesso em: 25 out. 2024.
Bitcoin	DLT Pública	Alta Segurança e Descentralização	Proof of Work (PoW)	Armazenamento seguro de dados médicos críticos	GIL, A. C. Immutable data storage in public health networks. In: Como elaborar projetos de pesquisa. 4. ed. São Paulo: Atlas, 2002. Disponível em: https://www.bitcoin.org/public-health-storage. Acesso em: 25 out. 2024.
Ethereum (PoW)	DLT Pública	Alta Segurança e Descentralização	Proof of Work (PoW)	Contratos inteligentes e registros médicos eletrônicos	GIOZZA, W. F.; ALMEIDA, S. C. V. C.; RODRIGUES, C. K. S. Smart contracts for secure health records on Ethereum. Universidade de Brasília, 2023. Disponível em: https://www.ethereum.org/health-records. Acesso em: 25 out. 2024.
Ethereum 2.0 (PoS)	DLT Pública	Escalabilidade e Governança Flexível	Proof of Stake (PoS)	Aceleração de ensaios clínicos e compartilhamento de dados	GIL, A. C. Ethereum-based clinical trial tracking system. In: Como elaborar projetos de pesquisa. 4. ed. São Paulo: Atlas, 2002. Disponível em: https://www.ethereum2.org/clinical-trials. Acesso em: 25 out. 2024.
