Grupo	Tipos DLTs	Nome DLT	Algoritmos de Consenso	Características	Estudo de uso
Alta Segurança e Controle	DLT Permissionada Privada (PBFT)	Hyperledger Fabric (PBFT)	PBFT	Alta segurança e resiliência contra falhas bizantinas. Máxima proteção de dados sensíveis em redes permissionadas e descentralizadas.	Prontuários eletrônicos, integração de dados sensíveis, sistemas de pagamento descentralizados
Alta Segurança e Controle	DLT Pública Permissionless (PoW)	Bitcoin (PoW)	PoW	Alta segurança e resiliência contra falhas bizantinas. Máxima proteção de dados sensíveis em redes permissionadas e descentralizadas.	Prontuários eletrônicos, integração de dados sensíveis, sistemas de pagamento descentralizados
Alta Segurança e Controle	DLT Pública Permissionless (PoW)	Ethereum (PoW)	PoW	Alta segurança e resiliência contra falhas bizantinas. Máxima proteção de dados sensíveis em redes permissionadas e descentralizadas.	Prontuários eletrônicos, integração de dados sensíveis, sistemas de pagamento descentralizados
Alta Eficiência Operacional	DLT Permissionada Simples	Quorum (RAFT)	RAFT, PoA	Simplicidade e eficiência em redes permissionadas menores. Validação rápida e leve, ideal para redes locais.	Sistemas locais de saúde, agendamento de pacientes, redes locais de hospitais
Alta Eficiência Operacional	DLT Permissionada Simples	VeChain (PoA)	PoA	Simplicidade e eficiência em redes permissionadas menores. Validação rápida e leve, ideal para redes locais.	Sistemas locais de saúde, agendamento de pacientes, redes locais de hospitais
Escalabilidade e Governança Flexível	DLT Híbrida (PoS)	Ethereum 2.0 (PoS)	PoS	Alta escalabilidade e eficiência energética com governança descentralizada ou semi-descentralizada.	Monitoramento de saúde pública, redes regionais de saúde, integração de EHRs
Escalabilidade e Governança Flexível	DLT com Consenso Delegado (DPoS)	EOS (DPoS)	DPoS	Alta escalabilidade e eficiência energética com governança descentralizada ou semi-descentralizada.	Monitoramento de saúde pública, redes regionais de saúde, integração de EHRs
Alta Escalabilidade em Redes IoT	DLT Pública	IOTA	Tangle (IOTA)	Alta escalabilidade e eficiência para o monitoramento de dispositivos IoT em tempo real.	Monitoramento de dispositivos IoT em saúde, dados em tempo real
Alta Segurança e Descentralização de Dados Críticos	DLT Pública Permissionless	Bitcoin (PoW)	PoW, PoS (transição para PoS)	Máxima segurança e descentralização para redes públicas, garantindo proteção de dados críticos de saúde pública.	Sistemas de pagamento descentralizados, dados críticos de saúde pública
Alta Segurança e Descentralização de Dados Críticos	DLT Pública Permissionless	Ethereum (PoS)	PoS	Máxima segurança e descentralização para redes públicas, garantindo proteção de dados críticos de saúde pública.	Sistemas de pagamento descentralizados, dados críticos de saúde pública
